Recency,Frequency,MonetaryValue,Cluster,Segment
395,2,854.15,0,At-Risk
79,6,1876.23,2,Potential Loyalists
65,1,90.6,0,At-Risk
361,4,548.76,0,At-Risk
3,6,2427.32,1,Champions
11,4,745.06,2,Potential Loyalists
176,3,674.45,0,At-Risk
218,14,12823.521,1,Champions
7,12,6640.68,1,Champions
2,2,439.92,2,Potential Loyalists
154,3,545.17,0,At-Risk
5,5,1026.42,2,Potential Loyalists
418,3,458.25,0,At-Risk
380,8,4709.2300000000005,2,Potential Loyalists
79,6,1076.18,2,Potential Loyalists
21,2,230.22,2,Potential Loyalists
392,1,538.4,0,At-Risk
22,3,362.8,2,Potential Loyalists
308,17,3011.87,1,Champions
387,2,438.9,0,At-Risk
477,3,996.61,0,At-Risk
435,1,390.86,0,At-Risk
146,2,166.3,0,At-Risk
423,1,123.66,0,At-Risk
7,35,13365.87,1,Champions
386,2,846.55,0,At-Risk
19,14,4667.57,1,Champions
71,2,190.25,0,At-Risk
287,1,264.7,0,At-Risk
49,2,677.72,2,Potential Loyalists
31,12,5358.84,1,Champions
207,4,1192.36,2,Potential Loyalists
411,1,519.8100000000001,0,At-Risk
15,2,196.79000000000002,2,Potential Loyalists
73,7,3416.23,2,Potential Loyalists
60,5,799.92,2,Potential Loyalists
416,1,331.14,0,At-Risk
39,9,4445.59,1,Champions
30,21,7108.45,1,Champions
27,12,2048.6,1,Champions
4,22,10020.86,1,Champions
17,1,320.46,2,Potential Loyalists
380,2,682.54,0,At-Risk
20,8,4757.8,1,Champions
66,5,2026.06,2,Potential Loyalists
213,1,311.3,0,At-Risk
12,6,855.97,2,Potential Loyalists
30,3,219.5,2,Potential Loyalists
43,19,6775.71,1,Champions
4,6,2313.14,1,Champions
15,14,3902.01,1,Champions
386,2,895.76,0,At-Risk
519,3,382.31,0,At-Risk
447,3,566.7,0,At-Risk
10,29,9502.26,1,Champions
211,5,2046.3400000000001,2,Potential Loyalists
46,9,4530.09,1,Champions
134,2,529.73,0,At-Risk
733,1,209.41,0,At-Risk
43,11,6258.45,1,Champions
10,5,2874.72,2,Potential Loyalists
116,7,2196.67,2,Potential Loyalists
513,1,79.48,0,At-Risk
432,1,509.04,0,At-Risk
198,3,1099.91,2,Potential Loyalists
565,2,445.15,0,At-Risk
480,2,457.82,0,At-Risk
278,1,328.8,0,At-Risk
110,5,1084.57,2,Potential Loyalists
77,3,1948.21,2,Potential Loyalists
53,1,917.34,2,Potential Loyalists
162,11,11403.41,1,Champions
571,1,229.75,0,At-Risk
645,1,367.15000000000003,0,At-Risk
47,3,1421.61,2,Potential Loyalists
17,4,1249.01,2,Potential Loyalists
155,7,1716.58,2,Potential Loyalists
225,2,792.15,0,At-Risk
7,2,584.07,2,Potential Loyalists
122,3,645.74,2,Potential Loyalists
465,8,4057.9,2,Potential Loyalists
471,2,713.11,0,At-Risk
61,1,104.82,0,At-Risk
550,3,10396.5,2,Potential Loyalists
63,2,467.66,2,Potential Loyalists
18,20,8262.29,1,Champions
7,44,40999.17,1,Champions
2,16,4850.2699999999995,1,Champions
555,1,109.44,0,At-Risk
22,3,651.8199999999999,2,Potential Loyalists
29,9,2856.72,1,Champions
285,1,626.65,0,At-Risk
176,6,836.95,2,Potential Loyalists
78,5,3069.88,2,Potential Loyalists
33,2,267.28000000000003,2,Potential Loyalists
41,35,12645.57,1,Champions
266,1,141.41,0,At-Risk
725,1,431.98,0,At-Risk
491,2,304.25,0,At-Risk
27,10,3123.1,1,Champions
109,16,11313.029999999999,1,Champions
284,1,154.99,0,At-Risk
9,14,4255.03,1,Champions
305,3,748.69,0,At-Risk
17,13,13239.03,1,Champions
32,2,746.36,2,Potential Loyalists
1,37,22434.0,1,Champions
20,2,480.81,2,Potential Loyalists
124,4,572.3,2,Potential Loyalists
65,1,92.46,0,At-Risk
106,3,1520.96,2,Potential Loyalists
1,23,8214.65,1,Champions
24,22,8408.84,1,Champions
463,2,469.19,0,At-Risk
267,1,183.6,0,At-Risk
5,30,9519.08,1,Champions
507,3,917.4300000000001,0,At-Risk
10,24,25604.2,1,Champions
438,9,22710.2,1,Champions
29,15,3332.42,1,Champions
389,3,891.02,0,At-Risk
267,1,152.55,0,At-Risk
64,2,374.7,0,At-Risk
320,4,1528.3700000000001,2,Potential Loyalists
515,2,230.06,0,At-Risk
685,1,326.55,0,At-Risk
4,8,1438.82,1,Champions
667,1,390.85,0,At-Risk
32,1,151.04,0,At-Risk
623,1,219.39999999999998,0,At-Risk
5,6,1734.87,2,Potential Loyalists
129,1,122.47,0,At-Risk
41,6,615.0799999999999,2,Potential Loyalists
102,9,1692.6299999999999,2,Potential Loyalists
125,2,618.73,0,At-Risk
33,5,1115.68,2,Potential Loyalists
302,10,5370.1,2,Potential Loyalists
365,2,413.36,0,At-Risk
4,11,1407.26,1,Champions
512,1,150.5,0,At-Risk
2,33,10104.97,1,Champions
463,1,39.95,0,At-Risk
3,3,846.22,2,Potential Loyalists
10,16,64036.8,1,Champions
57,1,161.0,0,At-Risk
325,1,76.32000000000001,0,At-Risk
654,2,9530.08,2,Potential Loyalists
8,24,7229.45,1,Champions
12,1,442.85,2,Potential Loyalists
440,1,335.22,0,At-Risk
723,1,2.95,0,At-Risk
4,17,65164.79,1,Champions
481,2,422.85999999999996,0,At-Risk
37,1,147.35,0,At-Risk
16,20,5765.71,1,Champions
138,1,194.9,0,At-Risk
74,13,9961.93,1,Champions
5,5,1360.28,2,Potential Loyalists
155,5,771.5799999999999,2,Potential Loyalists
239,5,5988.83,2,Potential Loyalists
737,1,214.79999999999998,0,At-Risk
52,11,4877.3,1,Champions
31,4,1044.96,2,Potential Loyalists
73,1,144.2,0,At-Risk
4,33,12987.95,1,Champions
14,4,692.85,2,Potential Loyalists
23,13,5834.59,1,Champions
4,16,7092.610000000001,1,Champions
274,7,1364.09,2,Potential Loyalists
502,2,622.6700000000001,0,At-Risk
20,5,1382.74,2,Potential Loyalists
144,1,90.0,0,At-Risk
429,1,458.45,0,At-Risk
376,2,183.37,0,At-Risk
4,4,2780.15,2,Potential Loyalists
406,3,362.42,0,At-Risk
733,1,436.18,0,At-Risk
84,1,419.58000000000004,0,At-Risk
11,3,2740.43,2,Potential Loyalists
8,4,1172.46,2,Potential Loyalists
123,6,1900.0800000000002,2,Potential Loyalists
61,3,924.21,2,Potential Loyalists
2,9,2591.34,1,Champions
319,4,1882.67,2,Potential Loyalists
649,1,187.87,0,At-Risk
2,11,3586.0299999999997,1,Champions
130,4,911.14,2,Potential Loyalists
383,15,11123.35,1,Champions
2,24,9643.92,1,Champions
401,5,1570.81,2,Potential Loyalists
696,1,332.7,0,At-Risk
2,2,982.3800000000001,2,Potential Loyalists
46,4,1086.8,2,Potential Loyalists
4,2,935.05,2,Potential Loyalists
3,4,915.13,2,Potential Loyalists
373,2,983.15,0,At-Risk
134,1,115.8,0,At-Risk
486,1,30.599999999999998,0,At-Risk
47,7,7600.05,1,Champions
9,12,9450.3,1,Champions
78,9,2590.2,2,Potential Loyalists
234,2,466.29,0,At-Risk
221,1,446.62,0,At-Risk
36,2,658.64,2,Potential Loyalists
673,2,679.45,0,At-Risk
75,7,1997.3400000000001,2,Potential Loyalists
483,1,233.4,0,At-Risk
239,8,6460.7,2,Potential Loyalists
266,1,118.75,0,At-Risk
10,156,313946.37,1,Champions
20,5,1002.78,2,Potential Loyalists
40,1,507.66,2,Potential Loyalists
20,20,7938.01,1,Champions
610,7,8421.47,2,Potential Loyalists
216,7,3318.88,2,Potential Loyalists
174,2,289.36,0,At-Risk
87,5,2594.62,2,Potential Loyalists
71,2,1631.77,2,Potential Loyalists
276,1,122.53999999999999,0,At-Risk
505,2,256.85,0,At-Risk
39,8,1296.49,2,Potential Loyalists
421,2,370.45,0,At-Risk
431,2,624.4300000000001,0,At-Risk
375,3,597.33,0,At-Risk
98,2,498.79,0,At-Risk
605,3,402.72,0,At-Risk
11,6,586.0,2,Potential Loyalists
33,1,134.46,0,At-Risk
60,8,7678.88,1,Champions
297,5,916.01,2,Potential Loyalists
86,13,2229.34,1,Champions
9,7,1620.93,2,Potential Loyalists
41,2,719.78,2,Potential Loyalists
11,33,6319.25,1,Champions
411,2,310.55,0,At-Risk
444,4,678.77,0,At-Risk
411,2,286.29,0,At-Risk
67,1,452.89,0,At-Risk
331,1,197.65,0,At-Risk
427,5,1550.63,2,Potential Loyalists
474,1,123.5,0,At-Risk
31,6,2054.36,2,Potential Loyalists
2,16,5814.39,1,Champions
666,1,79.9,0,At-Risk
2,15,4817.66,1,Champions
388,1,293.74,0,At-Risk
68,3,1210.19,2,Potential Loyalists
5,36,18670.59,1,Champions
202,6,2615.6,2,Potential Loyalists
107,1,335.52,0,At-Risk
411,1,390.05,0,At-Risk
18,9,1569.73,2,Potential Loyalists
218,4,1091.7,2,Potential Loyalists
617,1,379.2,0,At-Risk
60,10,1193.54,2,Potential Loyalists
381,3,847.76,0,At-Risk
397,1,339.34,0,At-Risk
2,4,1062.96,2,Potential Loyalists
17,9,2414.2,1,Champions
239,3,1185.01,2,Potential Loyalists
688,1,157.8,0,At-Risk
95,2,567.05,0,At-Risk
11,15,4993.27,1,Champions
106,16,5861.52,1,Champions
53,18,4402.29,1,Champions
90,2,2190.14,2,Potential Loyalists
405,1,1192.2,0,At-Risk
31,5,1004.38,2,Potential Loyalists
12,9,3416.33,1,Champions
3,5,2150.04,2,Potential Loyalists
2,23,3416.89,1,Champions
43,1,169.48000000000002,0,At-Risk
4,3,633.83,2,Potential Loyalists
247,4,1515.0,2,Potential Loyalists
42,17,6517.49,1,Champions
177,1,683.17,0,At-Risk
92,3,991.13,2,Potential Loyalists
110,9,1897.9,2,Potential Loyalists
435,4,2037.02,2,Potential Loyalists
29,6,3002.53,2,Potential Loyalists
26,15,6368.71,1,Champions
438,3,745.5,0,At-Risk
52,7,2594.04,2,Potential Loyalists
436,3,979.8000000000001,0,At-Risk
184,4,1235.6200000000001,2,Potential Loyalists
43,5,2048.07,2,Potential Loyalists
49,7,2904.27,2,Potential Loyalists
22,4,775.46,2,Potential Loyalists
75,9,4717.99,1,Champions
81,5,1744.64,2,Potential Loyalists
373,2,632.14,0,At-Risk
326,3,434.23,0,At-Risk
43,21,4263.17,1,Champions
30,3,1247.49,2,Potential Loyalists
184,2,333.70000000000005,0,At-Risk
235,2,280.55,0,At-Risk
9,17,7431.05,1,Champions
661,1,366.41999999999996,0,At-Risk
220,2,1693.45,2,Potential Loyalists
111,3,1474.06,2,Potential Loyalists
278,5,772.66,2,Potential Loyalists
318,3,1032.95,0,At-Risk
411,12,5625.461,2,Potential Loyalists
7,3,1904.05,2,Potential Loyalists
2,5,2879.7000000000003,1,Champions
381,1,350.99,0,At-Risk
493,2,363.40000000000003,0,At-Risk
433,1,601.03,0,At-Risk
546,1,1000.63,0,At-Risk
260,5,2473.9900000000002,2,Potential Loyalists
64,9,5954.45,1,Champions
9,25,32051.34,1,Champions
142,1,120.0,0,At-Risk
471,3,824.28,0,At-Risk
51,2,1163.45,2,Potential Loyalists
8,8,2618.23,1,Champions
423,1,322.93,0,At-Risk
155,6,1517.3600000000001,2,Potential Loyalists
109,4,1373.35,2,Potential Loyalists
428,1,40.56,0,At-Risk
163,3,1516.24,2,Potential Loyalists
471,1,354.85,0,At-Risk
439,1,295.73,0,At-Risk
332,1,492.65000000000003,0,At-Risk
226,2,219.13,0,At-Risk
74,4,920.81,2,Potential Loyalists
51,4,559.97,2,Potential Loyalists
686,1,256.6,0,At-Risk
396,6,1189.3799999999999,2,Potential Loyalists
99,7,2102.68,2,Potential Loyalists
15,9,17225.81,1,Champions
410,1,205.83,0,At-Risk
521,2,191.86,0,At-Risk
197,1,134.04,0,At-Risk
408,1,245.15,0,At-Risk
3,25,7849.66,1,Champions
463,4,628.4399999999999,0,At-Risk
31,3,1299.65,2,Potential Loyalists
21,8,3284.42,1,Champions
24,7,8479.76,1,Champions
8,3,176.63,2,Potential Loyalists
213,1,426.6,0,At-Risk
9,6,911.26,2,Potential Loyalists
11,8,4516.56,1,Champions
2,23,7904.1,1,Champions
8,16,9226.25,1,Champions
3,9,3267.9300000000003,1,Champions
407,1,375.34,0,At-Risk
40,5,2362.91,2,Potential Loyalists
421,2,456.40000000000003,0,At-Risk
18,4,1305.33,2,Potential Loyalists
8,82,91194.49,1,Champions
8,27,14499.49,1,Champions
19,1,43.2,0,At-Risk
117,4,1992.18,2,Potential Loyalists
431,3,742.9000000000001,0,At-Risk
407,2,277.94,0,At-Risk
223,3,1725.01,2,Potential Loyalists
71,3,1858.96,2,Potential Loyalists
51,6,3151.4,2,Potential Loyalists
89,10,5071.03,1,Champions
549,2,1147.02,0,At-Risk
8,11,3780.81,1,Champions
433,1,492.1,0,At-Risk
243,2,516.45,0,At-Risk
47,11,3090.29,1,Champions
107,2,229.8,0,At-Risk
45,8,3197.82,2,Potential Loyalists
422,5,1370.34,2,Potential Loyalists
65,1,508.58000000000004,0,At-Risk
460,1,158.02,0,At-Risk
424,1,494.85,0,At-Risk
207,5,1346.75,2,Potential Loyalists
11,7,2218.06,2,Potential Loyalists
429,4,474.1,0,At-Risk
115,2,605.0600000000001,0,At-Risk
410,2,701.61,0,At-Risk
570,1,245.48000000000002,0,At-Risk
242,3,940.98,0,At-Risk
163,6,1894.93,2,Potential Loyalists
438,1,445.05,0,At-Risk
17,15,9927.22,1,Champions
624,1,200.63,0,At-Risk
124,2,462.65999999999997,0,At-Risk
23,5,1943.51,2,Potential Loyalists
68,1,415.2,0,At-Risk
17,12,4318.48,1,Champions
16,2,468.26,2,Potential Loyalists
17,4,1614.91,2,Potential Loyalists
161,3,928.1,2,Potential Loyalists
243,2,620.27,0,At-Risk
219,1,134.7,0,At-Risk
45,18,4467.32,1,Champions
21,6,918.44,2,Potential Loyalists
421,4,1088.91,0,At-Risk
127,20,3333.7000000000003,1,Champions
39,1,108.97999999999999,0,At-Risk
121,5,2315.75,2,Potential Loyalists
737,1,82.6,0,At-Risk
260,1,409.57,0,At-Risk
10,1,133.5,0,At-Risk
274,3,972.03,0,At-Risk
165,1,51.0,0,At-Risk
157,4,1078.96,2,Potential Loyalists
215,3,376.5,0,At-Risk
6,2,163.62,2,Potential Loyalists
366,3,1014.45,0,At-Risk
80,2,701.23,2,Potential Loyalists
43,1,225.77,0,At-Risk
389,2,400.06,0,At-Risk
19,3,912.18,2,Potential Loyalists
32,4,2128.23,2,Potential Loyalists
579,1,214.70999999999998,0,At-Risk
22,1,161.2,0,At-Risk
402,2,227.47000000000003,0,At-Risk
109,8,3717.35,2,Potential Loyalists
395,2,634.68,0,At-Risk
525,1,136.0,0,At-Risk
8,16,9261.52,1,Champions
320,1,155.0,0,At-Risk
642,2,469.13,0,At-Risk
451,6,1175.78,2,Potential Loyalists
295,1,100.5,0,At-Risk
443,2,860.08,0,At-Risk
358,1,76.55,0,At-Risk
541,1,108.0,0,At-Risk
185,3,1132.99,2,Potential Loyalists
683,1,215.46,0,At-Risk
191,2,617.05,0,At-Risk
622,1,131.25,0,At-Risk
44,4,1268.91,2,Potential Loyalists
682,1,48.96,0,At-Risk
52,2,631.34,2,Potential Loyalists
26,2,1246.8,2,Potential Loyalists
38,3,1247.69,2,Potential Loyalists
501,1,58.5,0,At-Risk
9,3,202.11,2,Potential Loyalists
297,1,142.4,0,At-Risk
33,3,1770.56,2,Potential Loyalists
10,16,6701.0,1,Champions
65,5,1898.01,2,Potential Loyalists
10,13,6399.83,1,Champions
577,1,135.6,0,At-Risk
432,1,266.4,0,At-Risk
218,1,67.95,0,At-Risk
565,1,93.8,0,At-Risk
2,20,8208.01,1,Champions
65,7,2121.93,2,Potential Loyalists
3,19,2612.96,1,Champions
401,2,707.79,0,At-Risk
394,8,2113.16,2,Potential Loyalists
149,3,1732.47,2,Potential Loyalists
4,22,6795.9,1,Champions
652,1,285.6,0,At-Risk
130,6,1880.51,2,Potential Loyalists
34,13,2899.11,1,Champions
387,1,195.0,0,At-Risk
119,1,156.75,0,At-Risk
107,6,2157.73,2,Potential Loyalists
11,11,4109.77,1,Champions
71,9,3756.09,2,Potential Loyalists
92,11,2651.14,2,Potential Loyalists
311,1,1063.0,0,At-Risk
43,3,1426.19,2,Potential Loyalists
362,4,770.37,0,At-Risk
92,8,2399.33,2,Potential Loyalists
1,23,12091.6,1,Champions
22,2,490.22,2,Potential Loyalists
388,1,604.2,0,At-Risk
4,3,1937.25,2,Potential Loyalists
11,7,1260.91,2,Potential Loyalists
99,4,1639.17,2,Potential Loyalists
57,6,2469.37,2,Potential Loyalists
1,19,10271.52,1,Champions
218,3,916.6099999999999,2,Potential Loyalists
18,1,322.08,2,Potential Loyalists
435,3,661.39,0,At-Risk
24,17,11727.94,1,Champions
50,4,1263.52,2,Potential Loyalists
7,5,1244.83,2,Potential Loyalists
404,1,516.28,0,At-Risk
512,3,1220.9,0,At-Risk
303,4,2614.2,2,Potential Loyalists
10,6,2255.51,2,Potential Loyalists
466,1,289.6,0,At-Risk
22,6,1372.8,2,Potential Loyalists
502,1,90.42,0,At-Risk
99,2,271.70000000000005,0,At-Risk
366,5,958.84,2,Potential Loyalists
306,1,131.9,0,At-Risk
320,5,9443.04,2,Potential Loyalists
8,13,6638.7300000000005,1,Champions
1,11,4611.6900000000005,1,Champions
205,7,5367.0199999999995,2,Potential Loyalists
54,5,2386.47,2,Potential Loyalists
456,1,132.04,0,At-Risk
456,1,221.65,0,At-Risk
1,5,1241.31,2,Potential Loyalists
19,6,1711.73,2,Potential Loyalists
9,2,375.35,2,Potential Loyalists
19,8,2482.8,1,Champions
181,7,1128.44,2,Potential Loyalists
60,12,3308.77,1,Champions
11,4,665.59,2,Potential Loyalists
190,1,119.93,0,At-Risk
376,5,977.3,2,Potential Loyalists
432,4,628.21,0,At-Risk
5,9,3062.4,1,Champions
311,1,113.64,0,At-Risk
381,1,237.42,0,At-Risk
155,2,5375.741,2,Potential Loyalists
110,9,1093.5,2,Potential Loyalists
148,13,6713.5,1,Champions
66,12,2270.01,1,Champions
98,4,786.5699999999999,2,Potential Loyalists
568,2,111.0,0,At-Risk
247,11,3946.03,2,Potential Loyalists
29,13,4646.9,1,Champions
18,12,2220.9900000000002,1,Champions
734,1,204.24,0,At-Risk
416,4,2112.21,2,Potential Loyalists
12,3,712.04,2,Potential Loyalists
591,2,400.95,0,At-Risk
104,9,2228.22,2,Potential Loyalists
74,2,234.34000000000003,0,At-Risk
46,2,1278.08,2,Potential Loyalists
72,4,1151.15,2,Potential Loyalists
257,1,215.7,0,At-Risk
20,7,1969.6,2,Potential Loyalists
382,4,1276.66,2,Potential Loyalists
254,4,1299.11,2,Potential Loyalists
11,4,1299.52,2,Potential Loyalists
165,5,2311.4900000000002,2,Potential Loyalists
18,12,4357.91,1,Champions
282,2,257.1,0,At-Risk
50,4,1070.98,2,Potential Loyalists
39,1,165.75,0,At-Risk
512,2,175.5,0,At-Risk
27,7,1453.61,2,Potential Loyalists
68,1,1064.28,2,Potential Loyalists
207,4,1574.93,2,Potential Loyalists
406,2,1273.47,0,At-Risk
175,2,468.13,0,At-Risk
430,7,1921.91,2,Potential Loyalists
7,10,5130.15,1,Champions
26,3,401.46,2,Potential Loyalists
51,3,174.8,0,At-Risk
312,7,2668.23,2,Potential Loyalists
309,2,697.0600000000001,0,At-Risk
43,10,3911.27,1,Champions
26,7,2138.9700000000003,2,Potential Loyalists
88,3,356.85,0,At-Risk
184,2,251.21,0,At-Risk
20,11,2470.67,1,Champions
3,6,3543.26,1,Champions
47,4,673.26,2,Potential Loyalists
17,19,12001.84,1,Champions
17,7,3290.67,1,Champions
24,11,3284.43,1,Champions
22,5,874.94,2,Potential Loyalists
534,1,110.95,0,At-Risk
376,3,1007.28,0,At-Risk
11,5,1314.81,2,Potential Loyalists
188,7,1223.47,2,Potential Loyalists
101,6,788.01,2,Potential Loyalists
61,9,4598.9800000000005,1,Champions
18,12,3749.2599999999998,1,Champions
516,1,163.92,0,At-Risk
33,2,330.45,2,Potential Loyalists
64,1,174.37,0,At-Risk
684,2,206.09,0,At-Risk
2,2,270.6,2,Potential Loyalists
491,1,199.45000000000002,0,At-Risk
24,8,1758.6200000000001,2,Potential Loyalists
108,1,241.09,0,At-Risk
32,13,2933.71,1,Champions
20,17,8240.64,1,Champions
389,1,262.4,0,At-Risk
3,122,27792.3,1,Champions
37,1,364.21999999999997,0,At-Risk
60,3,620.04,2,Potential Loyalists
26,16,6197.4,1,Champions
480,1,376.34,0,At-Risk
236,11,3859.1800000000003,2,Potential Loyalists
25,11,3466.37,1,Champions
3,26,6271.11,1,Champions
60,9,6030.7300000000005,1,Champions
260,1,171.8,0,At-Risk
58,2,641.4,2,Potential Loyalists
65,5,1370.8400000000001,2,Potential Loyalists
16,2,537.48,2,Potential Loyalists
10,11,3795.34,1,Champions
59,14,2499.68,1,Champions
186,1,103.25,0,At-Risk
29,39,14906.77,1,Champions
24,3,2982.43,2,Potential Loyalists
674,1,349.25,0,At-Risk
5,11,5197.9,1,Champions
4,8,4007.54,1,Champions
151,9,2627.49,2,Potential Loyalists
311,4,916.5500000000001,2,Potential Loyalists
11,4,1353.31,2,Potential Loyalists
18,7,880.04,2,Potential Loyalists
152,3,511.28000000000003,0,At-Risk
19,9,1841.54,2,Potential Loyalists
10,4,2381.04,2,Potential Loyalists
57,6,2315.63,2,Potential Loyalists
596,3,835.34,0,At-Risk
85,1,788.38,0,At-Risk
654,3,655.5,0,At-Risk
390,1,75.6,0,At-Risk
7,44,6114.03,1,Champions
76,3,1080.76,2,Potential Loyalists
4,26,6729.400000000001,1,Champions
510,2,679.44,0,At-Risk
435,2,2605.62,0,At-Risk
96,5,3859.2200000000003,2,Potential Loyalists
111,4,4092.0,2,Potential Loyalists
57,2,1530.3600000000001,2,Potential Loyalists
435,1,919.7,0,At-Risk
1,4,598.98,2,Potential Loyalists
281,3,613.75,0,At-Risk
425,1,161.65,0,At-Risk
3,11,5615.18,1,Champions
180,13,2621.42,2,Potential Loyalists
733,1,143.70000000000002,0,At-Risk
488,1,460.71,0,At-Risk
372,1,70.80000000000001,0,At-Risk
13,7,1374.25,2,Potential Loyalists
3,1,168.63,2,Potential Loyalists
432,1,105.56,0,At-Risk
518,1,14.850000000000001,0,At-Risk
17,2,433.8,2,Potential Loyalists
41,1,114.11,0,At-Risk
6,8,1781.03,1,Champions
169,8,1747.91,2,Potential Loyalists
50,5,1143.27,2,Potential Loyalists
277,1,237.36,0,At-Risk
19,9,1601.14,2,Potential Loyalists
578,1,135.39,0,At-Risk
372,1,79.5,0,At-Risk
425,20,3006.62,1,Champions
15,4,1447.14,2,Potential Loyalists
35,3,570.46,2,Potential Loyalists
22,12,3712.0099999999998,1,Champions
7,2,634.83,2,Potential Loyalists
20,8,2164.45,2,Potential Loyalists
627,1,229.47,0,At-Risk
11,6,2201.54,2,Potential Loyalists
44,2,384.04,2,Potential Loyalists
390,2,474.54,0,At-Risk
306,2,865.1700000000001,0,At-Risk
11,1,213.96,2,Potential Loyalists
656,1,205.35999999999999,0,At-Risk
275,1,660.0,0,At-Risk
633,1,143.85999999999999,0,At-Risk
374,4,937.16,0,At-Risk
1,192,30861.06,1,Champions
16,22,24137.63,1,Champions
4,11,3352.94,1,Champions
72,10,1486.2,2,Potential Loyalists
396,2,24.35,0,At-Risk
444,2,604.3299999999999,0,At-Risk
415,1,877.7,0,At-Risk
680,1,76.32000000000001,0,At-Risk
386,1,295.13,0,At-Risk
394,5,951.76,2,Potential Loyalists
243,5,527.78,2,Potential Loyalists
403,2,190.47000000000003,0,At-Risk
9,7,1342.32,2,Potential Loyalists
246,2,1291.24,0,At-Risk
206,2,412.78000000000003,0,At-Risk
1,9,3000.57,1,Champions
185,1,320.58000000000004,0,At-Risk
32,10,2059.58,1,Champions
57,6,814.07,2,Potential Loyalists
196,11,4497.88,2,Potential Loyalists
24,11,5410.92,1,Champions
379,1,462.75,0,At-Risk
91,5,1998.0,2,Potential Loyalists
4,2,959.01,2,Potential Loyalists
484,1,338.65,0,At-Risk
51,6,2025.69,2,Potential Loyalists
263,1,114.56,0,At-Risk
266,1,344.90000000000003,0,At-Risk
438,4,2124.46,2,Potential Loyalists
454,1,215.22,0,At-Risk
36,2,609.85,2,Potential Loyalists
677,1,106.67999999999999,0,At-Risk
51,1,443.6,0,At-Risk
52,9,4978.96,1,Champions
24,10,3667.06,1,Champions
22,1,110.46,0,At-Risk
59,1,96.12,0,At-Risk
170,5,1679.89,2,Potential Loyalists
68,7,2247.72,2,Potential Loyalists
157,3,876.89,2,Potential Loyalists
2,151,528602.52,1,Champions
201,2,519.97,0,At-Risk
416,15,4546.86,1,Champions
5,9,3775.31,1,Champions
589,1,62.5,0,At-Risk
67,9,2034.1200000000001,2,Potential Loyalists
77,1,114.18,0,At-Risk
1,12,3614.54,1,Champions
738,1,246.86,0,At-Risk
8,7,3878.51,1,Champions
169,5,814.65,2,Potential Loyalists
18,6,1460.8700000000001,2,Potential Loyalists
5,2,247.15,2,Potential Loyalists
9,9,2529.93,1,Champions
87,2,285.74,0,At-Risk
27,1,107.95,0,At-Risk
29,7,1416.33,2,Potential Loyalists
430,2,490.6,0,At-Risk
20,2,637.89,2,Potential Loyalists
61,7,2749.65,2,Potential Loyalists
24,1,195.25,0,At-Risk
11,54,21927.14,1,Champions
445,1,111.63,0,At-Risk
242,7,3243.93,2,Potential Loyalists
280,3,602.0,0,At-Risk
549,2,1127.45,0,At-Risk
235,4,1113.14,2,Potential Loyalists
3,7,3410.81,1,Champions
509,1,173.66,0,At-Risk
16,2,1066.9,2,Potential Loyalists
31,12,8356.79,1,Champions
593,1,184.91,0,At-Risk
579,1,403.39,0,At-Risk
382,3,1289.44,0,At-Risk
25,58,57412.77,1,Champions
71,6,875.1500000000001,2,Potential Loyalists
188,6,1514.81,2,Potential Loyalists
588,1,146.56,0,At-Risk
26,6,1468.55,2,Potential Loyalists
576,8,4619.79,2,Potential Loyalists
414,5,885.83,2,Potential Loyalists
107,3,1402.06,2,Potential Loyalists
8,28,7713.57,1,Champions
209,1,112.8,0,At-Risk
44,4,794.33,2,Potential Loyalists
31,5,2114.33,2,Potential Loyalists
137,12,1745.09,2,Potential Loyalists
265,7,1165.36,2,Potential Loyalists
617,1,244.31,0,At-Risk
519,3,1620.07,0,At-Risk
4,8,2767.9,1,Champions
218,2,188.60999999999999,0,At-Risk
2,5,1250.76,2,Potential Loyalists
214,4,702.6,2,Potential Loyalists
32,5,3116.26,2,Potential Loyalists
11,15,4562.09,1,Champions
1,29,6754.22,1,Champions
15,1,318.17,2,Potential Loyalists
11,11,1813.57,1,Champions
199,1,179.0,0,At-Risk
619,1,390.69,0,At-Risk
436,2,139.2,0,At-Risk
3,5,2212.2799999999997,1,Champions
15,25,8886.33,1,Champions
14,13,1922.59,1,Champions
10,11,2868.8,1,Champions
29,4,1328.0700000000002,2,Potential Loyalists
9,21,5418.87,1,Champions
24,4,906.24,2,Potential Loyalists
25,8,1840.45,2,Potential Loyalists
43,3,565.45,2,Potential Loyalists
733,1,81.3,0,At-Risk
410,1,226.42,0,At-Risk
2,5,1602.13,2,Potential Loyalists
6,3,663.81,2,Potential Loyalists
379,1,115.77,0,At-Risk
147,3,513.37,0,At-Risk
10,11,2093.06,1,Champions
590,1,345.25,0,At-Risk
25,4,1315.24,2,Potential Loyalists
655,1,124.75,0,At-Risk
274,3,467.92999999999995,0,At-Risk
413,1,190.58,0,At-Risk
374,3,907.38,0,At-Risk
1,8,2005.06,1,Champions
47,3,380.02,2,Potential Loyalists
8,19,5517.07,1,Champions
16,15,16184.97,1,Champions
426,4,1056.42,0,At-Risk
4,56,12240.16,1,Champions
485,2,401.08,0,At-Risk
4,4,3554.17,2,Potential Loyalists
43,9,1821.9,2,Potential Loyalists
4,25,12287.5,1,Champions
